№ п/п	Инвентарный номер ИП	Дата сделки	Год постройки КС	Количество надземных этажей	Общая площадь помещения, кв.м	Этаж расположения	Количество жилых помещений (комнат), кв.м	Площадь кухни, кв.м	Наличие балкона, лоджии 	Наличие кладовой, гардеробной или других помещений для хранения	Высота потолка	Стеклопакеты в окнонных проемах	Возможность свободной планировки	Горячее водоснабжение	Санузлы	Отопление	Кондиционирование и вентиляция	Общее состояние здания/помещения	Элементы ландшафтного дизайна	Спортивная площадка	Огороженная территория	Количество парковочных мест для автомобилей	Собственная служба эксплуатации, управляющая компания	Консъерж/внутреннее видеонаблюдение	Подземный крытый паркинг (количество мест на парковке, шт.)	Наименование материала стен	"Наименование ""Виды конструкций"""	Территория	Доступность центра	Расстояние от СНП до центра притяжения	Цена, USD/кв.м	Цена за весь объект, USD	Маркер релевантности (1-релевантно, 0-нерелевантно)	номер оценочной зоны	СЗЗ	Пешеходная доступность рекреационой зоны	Маркер релевантности после усреднения	Стоимость Ани на дату сделки
881	140/D-17340	17.11.2014	2014	7	56.1	4	2	9.3	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	735.45	41258.56	1	кобрин1_жм	0	1	0	701.64
882	140/D-17341	18.11.2014	2014	7	56.1	2	2	9.3	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	41220.25	1	кобрин1_жм	0	1	0	701.64
883	140/D-17342	18.11.2014	2014	7	55.7	2	2	9.3	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	40926.34	1	кобрин1_жм	0	1	0	701.64
884	140/D-17343	18.11.2014	2014	7	73.5	1	3	9.5	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	54005.14	1	кобрин1_жм	0	1	0	619.61
885	140/D-17344	18.11.2014	2014	7	73.7	2	3	9.8	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	54152.09	1	кобрин1_жм	0	1	0	672.40
886	140/D-17345	17.11.2014	2014	7	73.7	3	3	9.8	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	735.45	54202.42	1	кобрин1_жм	0	1	0	672.40
887	140/D-17346	18.11.2014	2014	7	74.3	5	3	9.9	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	54592.95	1	кобрин1_жм	0	1	0	672.40
888	140/D-17347	20.11.2014	2014	7	56.4	6	2	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	41440.68	1	кобрин1_жм	0	1	0	701.64
889	140/D-17348	17.11.2014	2014	7	56.2	6	2	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	735.45	41332.10	1	кобрин1_жм	0	1	0	701.64
890	140/D-17349	18.11.2014	2014	7	56.2	7	2	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	41293.72	1	кобрин1_жм	0	1	0	681.19
891	140/D-17350	17.11.2014	2014	7	56.1	5	2	9.3	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	735.45	41258.56	1	кобрин1_жм	0	1	0	701.64
892	140/D-17351	18.11.2014	2014	7	36.5	2	1	9.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	26818.88	1	кобрин1_жм	0	1	0	712.93
893	140/D-17352	18.11.2014	2014	7	36.6	1	1	9.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	26892.35	1	кобрин1_жм	0	1	0	678.97
894	140/D-17353	18.11.2014	2014	7	36.9	5	1	9.8	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	27112.78	1	кобрин1_жм	0	1	0	712.93
895	140/D-17354	18.11.2014	2014	7	55.7	3	2	9.2	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	40926.34	1	кобрин1_жм	0	1	0	701.64
896	140/D-17355	18.11.2014	2014	7	55.6	4	2	9.2	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	40852.87	1	кобрин1_жм	0	1	0	701.64
897	140/D-17356	18.11.2014	2014	7	73.6	1	3	9.8	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	54078.61	1	кобрин1_жм	0	1	0	640.37
898	140/D-17357	18.11.2014	2014	7	73.8	2	3	9.9	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	54225.57	1	кобрин1_жм	0	1	0	672.40
899	140/D-17358	18.11.2014	2014	7	74	3	3	9.8	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	54372.52	1	кобрин1_жм	0	1	0	672.40
900	140/D-17360	18.11.2014	2014	7	74	4	3	9.8	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	54372.52	1	кобрин1_жм	0	1	0	672.40
901	140/D-17362	18.11.2014	2014	7	56.9	1	2	9.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	765.76	43571.49	1	кобрин1_жм	0	1	0	661.61
902	140/D-17363	24.11.2014	2014	7	74.1	6	3	9.7	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.08	54395.49	1	кобрин1_жм	0	1	0	672.40
903	140/D-17365	19.11.2014	2014	7	59.1	2	2	9.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	43424.54	1	кобрин1_жм	0	1	0	694.69
904	140/D-17366	17.11.2014	2014	7	59.6	3	2	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	735.45	43832.62	1	кобрин1_жм	0	1	0	694.69
905	140/D-17367	20.11.2014	2014	7	74.2	7	3	9.7	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	54519.47	1	кобрин1_жм	0	1	0	652.81
906	140/D-17368	18.11.2014	2014	7	59.6	4	2	9.5	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	43791.92	1	кобрин1_жм	0	1	0	694.69
907	140/D-17370	17.11.2014	2014	7	40.4	4	1	10.1	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	735.45	29712.04	1	кобрин1_жм	0	1	0	698.67
908	140/D-17371	20.11.2014	2014	7	59.6	5	2	9.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	43791.92	1	кобрин1_жм	0	1	0	694.69
909	140/D-17372	18.11.2014	2014	7	56.4	7	2	9.3	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	41440.68	1	кобрин1_жм	0	1	0	681.19
910	140/D-17373	18.11.2014	2014	7	74.3	5	3	9.9	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	54592.95	1	кобрин1_жм	0	1	0	672.40
911	140/D-17374	16.02.2015	2014	7	40.7	7	1	9.7	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	524.41	21343.65	1	кобрин1_жм	0	1	1	678.31
912	140/D-17375	17.11.2014	2014	7	40.3	6	1	9.8	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	735.45	29638.50	1	кобрин1_жм	0	1	0	698.67
913	140/D-17376	18.11.2014	2014	7	55.8	5	2	9.3	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	40999.82	1	кобрин1_жм	0	1	0	701.64
914	140/D-17377	18.11.2014	2014	7	40.5	5	1	10	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	29757.93	1	кобрин1_жм	0	1	0	698.67
915	140/D-17385	18.11.2014	2014	7	55.3	2	2	9.3	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	720.18	39826.18	1	кобрин1_жм	0	1	0	701.64
916	140/D-17386	18.11.2014	2014	7	55.6	1	2	9.2	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	40852.87	1	кобрин1_жм	0	1	0	668.22
917	140/D-17388	19.11.2014	2014	7	36.7	3	1	9.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	26965.83	1	кобрин1_жм	0	1	0	712.93
918	140/D-17389	18.11.2014	2014	7	40.4	1	1	9.9	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	29684.46	1	кобрин1_жм	0	1	0	665.40
919	140/D-17390	18.11.2014	2014	7	40.1	2	1	9.9	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	29464.03	1	кобрин1_жм	0	1	0	698.67
920	140/D-17392	18.11.2014	2014	7	40.3	3	1	10.1	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	734.76	29610.98	1	кобрин1_жм	0	1	0	698.67
921	140/D-17777	28.05.2015	2015	5	57	1	2		1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	527.63	30075.19	1	кобрин1_жм	0	1	1	663.84
922	140/D-17777	13.06.2015	2015	5	57	1	2		1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	503.05	28673.84	0	кобрин1_жм	0	1	0	663.84
923	140/D-17870	28.07.2015	2015	7	55.4	1	2	9.3	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	557.55	30888.26	1	кобрин1_жм	0	1	0	660.90
924	140/D-17872	23.07.2015	2015	7	73.5	2	3	10	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	554.94	40788.45	1	кобрин1_жм	0	1	0	658.44
925	140/D-17873	24.07.2015	2015	7	40.4	2	1	10.2	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	558.21	22551.85	1	кобрин1_жм	0	1	0	684.17
926	140/D-17874	23.07.2015	2015	7	55.9	4	2	9.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	554.94	31021.42	1	кобрин1_жм	0	1	0	693.96
927	140/D-17875	23.07.2015	2015	7	55.7	4	2	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Отличное								Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	554.94	30910.43	1	кобрин1_жм	0	1	0	693.96
928	140/D-17877	23.07.2015	2015	7	73.4	5	3	9.8	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	554.94	40732.96	1	кобрин1_жм	0	1	0	658.44
929	140/D-17881	23.07.2015	2015	7	73.4	3	3	9.8	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	554.94	40732.96	1	кобрин1_жм	0	1	0	658.44
930	140/D-17888	23.07.2015	2015	7	56.1	6	2	9.5	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	554.94	31132.41	1	кобрин1_жм	0	1	0	687.09
931	140/D-17891	24.07.2015	2015	7	40.3	7	1	10	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	558.21	22496.03	1	кобрин1_жм	0	1	0	664.24
932	140/D-17895	23.07.2015	2015	7	73.4	4	3	9.8	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	554.94	40732.96	1	кобрин1_жм	0	1	0	658.44
933	140/D-17898	24.07.2015	2015	7	73.4	3	3	9.8	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	558.21	40972.91	1	кобрин1_жм	0	1	0	658.44
934	140/D-17900	23.07.2015	2015	7	56.5	5	2	9.2	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	554.94	31354.39	1	кобрин1_жм	0	1	0	687.09
935	140/D-17901	24.07.2015	2015	7	59.7	5	2	9.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	558.21	33325.38	1	кобрин1_жм	0	1	0	680.34
936	140/D-17903	24.07.2015	2015	7	56.9	4	2	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное		Отличное								Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	558.21	31762.38	1	кобрин1_жм	0	1	0	687.09
937	500/D-1000437	21.04.2014	2006	5	68	3	2	12.1	1	Нет	2.7 - 3	Да	Нет	Автономное	Нет	Автономное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1773.57	120603.02	1	Минск19_жм	1	1	1	1749.97
938	500/D-1000451	03.04.2014	2006	5	128.9	5	4	16.8	2 и более	1	2.7 - 3	Да	Нет	Автономное	Нет	Автономное										Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1551.59	200000.00	1	Минск19_жм	1	1	1	1734.42
939	500/D-1000457	23.04.2014	2006	5	130.5	4	4	14.1	2 и более	Нет	2.7 - 3	Да	Нет	Автономное	Нет	Автономное										Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1685.82	220000.00	1	Минск19_жм	1	1	1	1697.12
940	500/D-1004261	14.08.2015	2006	20	130.7	7	4	31.3	2 и более	Нет	2.7 - 3	Да	Нет данных	Централизованное	2 и более	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	948.74	124000.00	0	Минск9_жм	1	1	0	1377.88
941	500/D-1004313	10.06.2015	2006	20	93.4	18	3	10.9	1	Нет	2.7 - 3	Да	Нет данных	Централизованное	2 и более	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	963.60	90000.00	0	Минск9_жм	1	1	0	1458.23
942	500/D-101176	19.12.2013	1957	4	50.9	3	2	6.3	1	2 и более	3.0 - 4.0	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1866.40	95000.00	1	Минск1_жм	1	1	1	2082.05
943	500/D-101180	15.10.2014	1957	4	61.7	4	2	12.4	2 и более	Нет	3.0 - 4.0	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1847.65	114000.00	1	Минск1_жм	1	1	1	1783.59
944	500/D-101220	27.08.2015	1957	4	54.8	3	2	8.5	1	2 и более	3.0 - 4.0	Нет	Нет данных	Централизованное	Нет	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1459.85	80000.00	1	Минск1_жм	1	1	1	1605.59
945	500/D-101232	03.04.2013	1957	4	55.7	1	2	8.5	Нет	2 и более	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1615.80	90000.00	1	Минск1_жм	1	1	1	1793.43
946	500/D-102030	07.08.2013	1957	2	60.12	1	2	5.82	Нет	1	2.7 - 3	Нет	Нет	Да	Нет	Да										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1330.67	80000.00	1	Минск7_жм	1	1	1	1774.84
947	500/D-102115	20.08.2013	1957	5	46	4	2	7	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1826.09	84000.00	1	Минск4_жм	1	1	1	1874.82
948	500/D-102179	15.11.2014	1961	5	42.9	4	2	6	1	1	до 2.7	Нет		Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1958.04	84000.00	1	Минск4_жм	0	1	0	2052.12
949	500/D-102191	11.06.2015	1961	5	42.8	5	2	6.3	1	1	до 2.7	Нет		Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1799.07	77000.00	1	Минск4_жм	0	1	1	1663.95
950	500/D-102205	21.08.2015	1961	5	29.8	1	1	5.8	Нет	2 и более	до 2.7	Нет		Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	1560.40	46500.00	1	Минск4_жм	0	1	1	1590.39
951	500/D-102227	19.08.2014	1961	5	54.8	1	3	5.8	Нет	2 и более	до 2.7	Нет		Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1552.59	85081.89	0	Минск4_жм	0	1	0	
952	500/D-102770	26.09.2014	1957	5	55.4	2	2	8	Нет	Нет	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	2057.76	114000.00	1	Минск1_жм	1	1	1	2226.14
953	500/D-102888	17.04.2014	1957	5	59.8	4	2	8.9	1	1	2.7 - 3		Нет	Централизованное	2 и более	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1667.19	99698.19	0	Минск1_жм	1	1	0	2204.09
954	500/D-102898	11.04.2013	1957	5	58.1	4	2	9.3	1	Нет	2.7 - 3	Нет	Нет данных	Централизованное	Нет	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1893.29	110000.00	1	Минск1_жм	1	1	1	2054.30
955	500/D-108948	20.10.2014	1958	4	50	2	2	8.8	1	1	2.7 - 3	Нет	Нет	Централизованное	Нет	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1748.36	87417.99	1	Минск13_жм	0	1	1	1580.38
956	500/D-109095	02.07.2013	1958	6	49.4	2	2	8.9	1	Нет	2.7 - 3	Да	Нет данных	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	2024.29	100000.00	0	Минск13_жм	0	1	0	1508.87
957	500/D-109099	10.07.2013	2000	6	36.4	3	1	8.7	Нет	Нет	2.7 - 3	Да	Нет данных	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1813.19	66000.00	1	Минск13_жм	0	1	1	1534.91
958	500/D-109108	16.12.2013	1958	6	35	1	1	8.6	Нет	Нет	2.7 - 3	Да	Нет данных	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1657.14	58000.00	1	Минск13_жм	0	1	1	1516.34
959	500/D-109372	17.03.2015	1958	2	32.2	1	1	5.2	Нет	Нет	2.7 - 3	Нет	Нет	Автономное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1386.83	44656.08	1	Минск15_жм	0	1	1	1389.41
960	500/D-109452	26.12.2013	1958	4	39.3	3	2	7.4	1	Нет	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	2086.51	82000.00	1	Минск1_жм	1	1	1	2237.49
961	500/D-109494	09.01.2014	1958	4	55.6	4	2	7.7	Нет	1	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1708.63	95000.00	1	Минск12_жм	1	1	1	1578.14
962	500/D-109531	12.09.2013	1958	4	31	2	1	6.2	Нет	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1903.23	59000.00	1	Минск12_жм	1	1	1	1823.99
963	500/D-109550	22.03.2013	1958	4	45.2	4	2		1	1	2.7 - 3	Да	Нет данных	Централизованное	1	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1438.05	65000.00	1	Минск12_жм	1	1	1	1479.60
964	500/D-109551	19.12.2014	1958	4	30.9	2	1	6	Нет	1	до 2.7	Нет	Нет данных	Централизованное	1	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1812.30	56000.00	1	Минск12_жм	1	1	1	1707.06
965	500/D-109588	11.11.2013	1958	4	42.2	4	2	5.9	1	1	2.7 - 3	Нет	Нет данных	Централизованное	1	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1658.77	70000.00	1	Минск12_жм	1	1	1	1677.03
966	500/D-109591	10.06.2015	1958	4	30.53	1	1	5.71	Нет	1	до 2.7	Нет	Нет данных	Централизованное	1	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1431.38	43700.00	1	Минск12_жм	1	1	1	1393.52
967	500/D-109594	10.11.2014	1958	4	42.5	3	1	10.2	1	1	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1847.06	78500.00	1	Минск4_жм	1	0	1	1785.51
968	500/D-109607	16.05.2014	1958	4	43.6	4	1	8	1	1	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1949.54	85000.00	1	Минск4_жм	1	0	1	1763.23
969	500/D-109749	29.05.2013	1958	3	35.8	1	2	4.7	Нет	Нет	до 2.7	Нет	Да	Автономное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1787.71	64000.00	1	Минск7_жм	0	1	1	1819.49
970	500/D-111224	24.08.2013	1958	3	46	1	2	5.1	Нет	Нет	2.7 - 3	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1195.65	55000.00	0	Минск3_жм	1	1	0	1554.15
971	500/D-111252	09.04.2014	1959	3	41.3	2	2	5.4	Нет	Нет	3.0 - 4.0	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1694.92	70000.00	1	Минск3_жм	1	1	1	1666.20
972	500/D-111673	13.03.2014	1958	8	62	6	2	8.8	1	Нет			Нет	Централизованное	1	Централизованное		Удовлетворительное	Нет	Нет	Нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	2398.39	148700.00	1	Минск1_жм	1	1	1	2182.49
